seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Moderate,0.28,60,5,0,3,10.0,-0.2882845089593859,-3.042676163530878,-0.0596,1,57,3
1,Moderate,0.28,120,14,0,7,23.77777777777778,-0.7023451585840426,-17.587719573757116,-0.1387,2,53,9
1,Moderate,0.28,180,25,0,1,0.7777777777777778,0.15478791143891898,-40.65679209002778,0.0301,3,63,9
1,Moderate,0.28,240,41,0,1,0.5,0.290815923989198,-6.103620455770487,0.0546,4,67,4
1,Moderate,0.28,300,47,1,2,16.428571428571427,0.9973673121426496,7.341672801113397,-0.0431,5,66,7
1,Moderate,0.28,360,61,0,2,3.7,0.18583257609806594,28.70654225591962,0.0615,0,46,10
1,Moderate,0.28,420,76,0,6,25.142857142857142,-0.4426777145005747,38.853434212776996,-0.0603,1,53,7
1,Moderate,0.28,480,83,1,0,0.0,1.2840002710554694,-1.4760964321689602,0.1172,2,73,9
1,Moderate,0.28,540,104,1,5,6.5,0.892155415205117,33.50665775953808,0.1036,3,55,10
1,Moderate,0.28,600,122,0,0,0.0,0.4808101110143358,65.03534018399333,0.1723,4,62,5
1,Moderate,0.28,660,127,0,3,5.75,0.13395330935709726,97.14567287236876,0.141,5,68,4
1,Moderate,0.28,720,136,0,0,0.0,0.4857189323022467,126.65526736160537,0.1921,0,65,5
1,Moderate,0.28,780,148,0,7,17.846153846153847,-0.44530704311434155,134.90235338416787,0.0901,1,59,13
1,Moderate,0.28,840,159,0,9,18.076923076923077,-0.6271177176651301,117.47150036808631,0.1041,2,50,13
1,Moderate,0.28,900,165,0,12,66.85714285714286,-1.5836042222034517,49.365451089982464,-0.2127,3,69,14
1,Moderate,0.28,960,186,1,3,4.545454545454546,1.1311525183508784,78.23147372004415,0.2324,4,59,11
1,Moderate,0.28,1020,195,0,1,8.571428571428571,0.28198310074867344,104.86495712056175,0.2183,5,60,7
1,Moderate,0.28,1080,206,0,3,5.111111111111111,0.13004154130236828,132.19070760079754,0.2569,0,63,9
1,Moderate,0.28,1140,219,0,9,41.888888888888886,-0.9136671266460566,120.65553778049474,0.0301,1,54,9
1,Moderate,0.28,1200,227,1,11,59.8125,-0.4130111281024816,59.58390552625214,-0.0781,2,62,16
1,Moderate,0.28,1260,242,0,9,26.3,-0.7142259720648239,40.841071477461924,0.1665,3,68,10
1,Moderate,0.28,1320,257,0,2,8.0,0.2016366844168503,65.47763758201175,0.3097,4,57,4
1,Moderate,0.28,1380,262,0,2,7.090909090909091,0.19443514058350403,85.55297021488707,0.3228,5,56,11
1,Moderate,0.28,1440,273,0,2,24.75,-0.04449642329861153,98.54686569293159,0.2206,0,50,8
1,Moderate,0.28,1500,290,0,8,19.285714285714285,-0.557059582891619,92.49349560857563,0.281,1,53,14
1,Moderate,0.28,1560,304,1,4,15.636363636363637,0.7416762946224744,48.52384644229995,0.3251,2,66,11
